CATEGORY,ROOM / LOCATION,PRODUCT DESCRIPTION,PRODUCT # / SKU,MANUFACTURER,VENDOR,SIZE,FINISH,ROOM SQFT,SQFT + 15% OVERAGE,SQFT PER CASE,CASES NEEDED,NOTES,LINK
,,,,,,,,,,,,,,
FLOORING — TILE,,,,,,,,,,,,,,
,Bathroom 1,Capri Almond Matte Porcelain Tile,101488112,Floor & Decor,Floor & Decor,24" x 24",Matte,90,103.5,4.0 sqft/piece,26 pieces,$3.29/sqft | $13.16/piece | Total: $342.16 | Devon substitution — replaces Tilebar Santo Mountain Beige,https://www.flooranddecor.com/porcelain-tile/capri-almond-matte-porcelain-tile-101488112.html
,Bathroom 2,Laverton Octagon Nieve with Taco Grafito Porcelain Tile,KVV8OLNVGF,Merola Tile,Home Depot,8" x 8",Matte,110,126.5,11.25,12,Devon substitution — replaces Tilebar Santo Mountain Beige,https://www.homedepot.com/p/Merola-Tile-Laverton-Octagon-Nieve-with-Taco-Grafito-8-in-x-8-in-Porcelain-Floor-and-Wall-Tile-11-25-sq-ft-Case-KVV8OLNVGF/335997641
,Kitchen + Utility Room,Villa Bianca 17x17 Matte Porcelain Checkerboard Tile,340079451,MSI,Home Depot,17" x 17",Matte,230,264.5,14.8,18,Devon substitution — replaces Dekton Kraftizen; includes both kitchen and utility,https://www.homedepot.com/p/MSI-Villa-Bianca-17-in-x-17-in-Matte-Porcelain-Checkerboard-Look-Floor-and-Wall-Tile-14-8-sq-ft-Case-NWGLATBLO1717/340079451
,Shampoo Room — Under Backwash Chairs,12.6" x 7.28" Marble Fan Mosaic Sheet,IRBL1422,Marble Online,Wayfair,320mm x 185mm per piece,Polished Marble,112.5,129.375,0.34 sqft/piece,381 pieces,$40.12/piece | Total: $15285.72 | Devon substitution — replaces Daltile Cascade Ridge Slate penny round; measured 9' x 12.5',https://www.wayfair.com/home-improvement/pdp/marble-online-126-x-728-marble-mosaic-sheet-subway-wall-floor-tile-irbl1422.html
,,,,,,,,,,,,,,
FLOORING — HARDWOOD,,,,,,,,,,,,,,
,Lobby,White Oak Engineered Hardwood | Monza Collection,RAGUSA,ADM Flooring,ADM Flooring,31.5" square panels,Oil,320,368,13.78,27,$165.22/box — 27 boxes = $4460.94,https://admflooring.com/ragusa-white-oak-engineered-hardwood/
,Hallway,White Oak Engineered Hardwood | Monza Collection,RAGUSA,ADM Flooring,ADM Flooring,31.5" square panels,Oil,252,289.8,13.78,22,$165.22/box — 22 boxes = $3634.84,https://admflooring.com/ragusa-white-oak-engineered-hardwood/
,Salon Room 1,White Oak Engineered Hardwood | Monza Collection,RAGUSA,ADM Flooring,ADM Flooring,31.5" square panels,Oil,256,294.4,13.78,22,$165.22/box — 22 boxes = $3634.84,https://admflooring.com/ragusa-white-oak-engineered-hardwood/
,Salon Room 2,White Oak Engineered Hardwood | Monza Collection,RAGUSA,ADM Flooring,ADM Flooring,31.5" square panels,Oil,221,254.15,13.78,19,$165.22/box — 19 boxes = $3139.18,https://admflooring.com/ragusa-white-oak-engineered-hardwood/
,Shampoo Room (excl. chair tile area),White Oak Engineered Hardwood | Monza Collection,RAGUSA,ADM Flooring,ADM Flooring,31.5" square panels,Oil,119.5,137.425,13.78,10,Total room = 232 sqft; 112.5 sqft covered by marble mosaic — 10 boxes = $1652.20,https://admflooring.com/ragusa-white-oak-engineered-hardwood/
,Office Room,White Oak Engineered Hardwood | Monza Collection,RAGUSA,ADM Flooring,ADM Flooring,31.5" square panels,Oil,250,287.5,13.78,21,$165.22/box — 21 boxes = $3469.62,https://admflooring.com/ragusa-white-oak-engineered-hardwood/
,HARDWOOD TOTAL,,,,,,,1408.5,1619.775,13.78,121,121 boxes x $165.22 = $19991.62 total | $11.99/sqft,https://admflooring.com/ragusa-white-oak-engineered-hardwood/
,,,,,,,,,,,,,,
WALL TILE & STONE,,,,,,,,,,,,,,
,Bathroom 1 — Wall,Microsaic Plaid Wooden Beige Polished Marble Tile,,Tilebar,Tilebar,12.2" x 12.2",Polished,—,—,—,—,1 wall OR halfway up all walls — confirm scope with designer,https://www.tilebar.com
,Bathroom 1 — Grout,,Laticrete Permacolor Bright White Grout,,Laticrete,Laticrete,—,—,—,—,—,—,Per Caitlin's spec,
,Salon Room Built-Ins — Stone,Masso Pearl Manufactured Stone,101233351,Floor & Decor,Floor & Decor,,Heavily Overgrouted,—,—,—,—,Per Caitlin's spec,https://www.flooranddecor.com/ledgers-stone/masso-pearl-manufactured-stone-101233351.html
,Salon Room Built-Ins — Grout,Laticrete Permacolor Marble Beige Grout,100895416,Floor & Decor,Floor & Decor,—,Heavily Overgrouted,—,—,—,—,Per Caitlin's spec,https://www.flooranddecor.com/tile-grout-installation-materials/laticrete-17-marble-beige-permacolor-grout-100895416.html
,Devyn Salon & Salon 2 — Surfaces,Trevi Dekton — Pietra Edition,,Dekton,Cosentino,—,Matte,—,—,—,—,Countertops/built-in surfaces only — NOT floor,https://www.cosentino.com/colors/dekton/trevi/
,Kitchen — Surfaces,Kraftizen Albarium Dekton,,Dekton,Cosentino,—,—,—,—,—,—,Kitchen surfaces/countertops — confirm scope with designer,
,,,,,,,,,,,,,,
WALL COVERINGS,,,,,,,,,,,,,,
,Lobby — 1 Accent Wall,Gracious Landscape Anthracite Mural,1 panel,Belarte Studio,Belarte Studio,—,—,—,—,—,1 panel,Per Caitlin's spec,https://belartestudio.com/collections/landscape-wall-murals/products/gracious-landscape-anthracite-swedish-grace
,,,,,,,,,,,,,,
PAINT — MEODED LIMEWASH (via GC),,,,,,,,,,,,,,
,Main Bathroom + Bathroom 2,Cocoa Limewash,MC-833,Meoded,GC,—,Limewash,—,—,—,—,Ceiling + walls + baseboards — color drench,https://meodedpaint.com/product/lime-wash/
,Lobby + Hallway + Kitchen + Office,Cumulous Limewash,MC-721,Meoded,GC,—,Limewash,—,—,—,—,Ceiling + walls + baseboards — color drench,https://meodedpaint.com/product/lime-wash/
,Devyn Salon + Salon 2 + Shampoo Room,Villa Limewash,MC-Villa,Meoded,GC,—,Limewash,—,—,—,—,Ceiling + walls + baseboards — color drench; confirm exact color code with Caitlin,https://meodedpaint.com/product/lime-wash/
,,,,,,,,,,,,,,
SALON EQUIPMENT,,,,,,,,,,,,,,
,Shampoo Room,Avant Shampoo System with Black Bowl (Ottoman Included),5869maB,Minerva Beauty,Minerva Beauty,"25"W x 55.5"D x 34"H",Mocha,—,—,—,3,Flexible drain hose: 1.25"W x 27.5"L,
,Salon Rooms,Murano Extra Wide Salon Styling Chair — Bark Brown,"2861br-mbp-3s-b",Minerva Beauty,Minerva Beauty,29"W x 37"D,Bark Brown / Black Powder Coat,—,—,—,4,360° swivel hydraulic,https://www.minervabeuaty.com
,,,,,,,,,,,,,,
LIGHTING,,,,,,,,,,,,,,
,TBD,Aldwin Pendant,—,Soho Home,Soho Home,"H47.2" x W27.6" x D27.6"",—,—,—,—,1,6 bulbs / E12 / 9W — Tala 6W Globe LED — 110-120V,https://www.sohohome.com
,Shampoo Room,Brass Chain Swag Chandelier — White Glass Globe Shades,—,Hangout Lighting,Etsy / Hangout Lighting,Globes: 10" / 12" / 14",Brass chain,—,—,—,1,5 lights,https://www.etsy.com/listing/1661242144
,Devyn Salon Built-In,Mid-Century Sconce — Antique Brass & Cream Shade,—,MODCREATION Studio,Etsy / MODCREATION,—,Antique Brass,—,—,—,2,,https://www.etsy.com/listing/4403098139
,Salon 2 Built-In,Alabaster Wall Sconce with Brass Arm,—,Brilliance Lightings,Etsy / Brilliance Lightings,—,Antique Brass,—,—,—,2,,https://www.etsy.com/listing/4338376325
,Main Bathroom,Modern Brass Double Wall Sconce — Vanity,—,The Italian Light Store,Etsy / The Italian Light Store,—,Raw Brass,—,—,—,1,,https://www.etsy.com/listing/4442818019
